The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_products
The number of GCN layers: 3
The number of hidden units: 64
The number of training epoches: 5000
Learning rate: 0.001000
Initialized node g004.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 1.938 seconds.
Building the CSC structure...
        It takes 1.911 seconds.
Building the Feature Vector...
        It takes 0.581 seconds.
Building the Label Vector...
        It takes 0.314 seconds.
Number of classes: 47
Number of feature dimensions: 100
train nodes 196615, valid nodes 39323, test nodes 2213091
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 47
    Number of vertices: 2449029
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 3.89573	TrainAcc 0.0165	ValidAcc 0.0175	TestAcc 0.0147
    Epoch 1:	Loss 3.85471	TrainAcc 0.0210	ValidAcc 0.0225	TestAcc 0.0185
    Epoch 2:	Loss 3.80095	TrainAcc 0.0274	ValidAcc 0.0305	TestAcc 0.0253
    Epoch 3:	Loss 3.73992	TrainAcc 0.0500	ValidAcc 0.0543	TestAcc 0.0426
    Epoch 4:	Loss 3.67430	TrainAcc 0.1092	ValidAcc 0.1100	TestAcc 0.0782
    Epoch 5:	Loss 3.60543	TrainAcc 0.2060	ValidAcc 0.2006	TestAcc 0.1384
    Epoch 6:	Loss 3.53394	TrainAcc 0.2796	ValidAcc 0.2723	TestAcc 0.1945
    Epoch 7:	Loss 3.46014	TrainAcc 0.3317	ValidAcc 0.3293	TestAcc 0.2418
    Epoch 8:	Loss 3.38405	TrainAcc 0.3674	ValidAcc 0.3654	TestAcc 0.2762
    Epoch 9:	Loss 3.30567	TrainAcc 0.3849	ValidAcc 0.3833	TestAcc 0.2981
    Epoch 10:	Loss 3.22507	TrainAcc 0.3936	ValidAcc 0.3952	TestAcc 0.3121
    Epoch 11:	Loss 3.14238	TrainAcc 0.3970	ValidAcc 0.3999	TestAcc 0.3203
    Epoch 12:	Loss 3.05778	TrainAcc 0.4028	ValidAcc 0.4047	TestAcc 0.3275
    Epoch 13:	Loss 2.97171	TrainAcc 0.4140	ValidAcc 0.4152	TestAcc 0.3366
    Epoch 14:	Loss 2.88474	TrainAcc 0.4228	ValidAcc 0.4245	TestAcc 0.3453
    Epoch 15:	Loss 2.79747	TrainAcc 0.4314	ValidAcc 0.4338	TestAcc 0.3527
    Epoch 16:	Loss 2.71058	TrainAcc 0.4400	ValidAcc 0.4420	TestAcc 0.3595
    Epoch 17:	Loss 2.62469	TrainAcc 0.4454	ValidAcc 0.4477	TestAcc 0.3651
    Epoch 18:	Loss 2.54038	TrainAcc 0.4489	ValidAcc 0.4513	TestAcc 0.3697
    Epoch 19:	Loss 2.45817	TrainAcc 0.4530	ValidAcc 0.4549	TestAcc 0.3737
    Epoch 20:	Loss 2.37848	TrainAcc 0.4573	ValidAcc 0.4600	TestAcc 0.3782
    Epoch 21:	Loss 2.30154	TrainAcc 0.4645	ValidAcc 0.4685	TestAcc 0.3844
    Epoch 22:	Loss 2.22745	TrainAcc 0.4758	ValidAcc 0.4806	TestAcc 0.3927
    Epoch 23:	Loss 2.15628	TrainAcc 0.4926	ValidAcc 0.4965	TestAcc 0.4037
    Epoch 24:	Loss 2.08810	TrainAcc 0.5131	ValidAcc 0.5172	TestAcc 0.4182
    Epoch 25:	Loss 2.02302	TrainAcc 0.5342	ValidAcc 0.5404	TestAcc 0.4333
    Epoch 26:	Loss 1.96115	TrainAcc 0.5598	ValidAcc 0.5621	TestAcc 0.4473
    Epoch 27:	Loss 1.90264	TrainAcc 0.5851	ValidAcc 0.5831	TestAcc 0.4599
    Epoch 28:	Loss 1.84754	TrainAcc 0.6083	ValidAcc 0.6044	TestAcc 0.4717
    Epoch 29:	Loss 1.79579	TrainAcc 0.6291	ValidAcc 0.6234	TestAcc 0.4834
    Epoch 30:	Loss 1.74721	TrainAcc 0.6489	ValidAcc 0.6425	TestAcc 0.4945
    Epoch 31:	Loss 1.70154	TrainAcc 0.6673	ValidAcc 0.6610	TestAcc 0.5059
    Epoch 32:	Loss 1.65848	TrainAcc 0.6852	ValidAcc 0.6776	TestAcc 0.5175
    Epoch 33:	Loss 1.61772	TrainAcc 0.6997	ValidAcc 0.6921	TestAcc 0.5285
    Epoch 34:	Loss 1.57903	TrainAcc 0.7112	ValidAcc 0.7032	TestAcc 0.5372
    Epoch 35:	Loss 1.54223	TrainAcc 0.7200	ValidAcc 0.7118	TestAcc 0.5438
    Epoch 36:	Loss 1.50721	TrainAcc 0.7270	ValidAcc 0.7180	TestAcc 0.5489
    Epoch 37:	Loss 1.47390	TrainAcc 0.7326	ValidAcc 0.7232	TestAcc 0.5529
    Epoch 38:	Loss 1.44227	TrainAcc 0.7374	ValidAcc 0.7280	TestAcc 0.5562
    Epoch 39:	Loss 1.41227	TrainAcc 0.7414	ValidAcc 0.7325	TestAcc 0.5589
    Epoch 40:	Loss 1.38384	TrainAcc 0.7449	ValidAcc 0.7362	TestAcc 0.5614
    Epoch 41:	Loss 1.35689	TrainAcc 0.7475	ValidAcc 0.7394	TestAcc 0.5634
