The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_products
The number of GCN layers: 3
The number of hidden units: 256
The number of training epoches: 1000
Learning rate: 0.005000
Initialized node g008.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 1.935 seconds.
Building the CSC structure...
        It takes 1.866 seconds.
Building the Feature Vector...
        It takes 0.673 seconds.
Building the Label Vector...
        It takes 0.425 seconds.
Number of classes: 47
Number of feature dimensions: 100
train nodes 196615, valid nodes 39323, test nodes 2213091
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 47
    Number of vertices: 2449029
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 3.87108	TrainAcc 0.0016	ValidAcc 0.0023	TestAcc 0.0044
    Epoch 1:	Loss 3.09952	TrainAcc 0.3131	ValidAcc 0.3149	TestAcc 0.2776
    Epoch 2:	Loss 2.51557	TrainAcc 0.3100	ValidAcc 0.3100	TestAcc 0.2707
    Epoch 3:	Loss 1.95187	TrainAcc 0.5293	ValidAcc 0.5321	TestAcc 0.4226
    Epoch 4:	Loss 1.66912	TrainAcc 0.6759	ValidAcc 0.6733	TestAcc 0.5175
    Epoch 5:	Loss 1.39455	TrainAcc 0.7389	ValidAcc 0.7343	TestAcc 0.5646
    Epoch 6:	Loss 1.20780	TrainAcc 0.7644	ValidAcc 0.7573	TestAcc 0.5833
    Epoch 7:	Loss 1.09271	TrainAcc 0.7862	ValidAcc 0.7790	TestAcc 0.6032
    Epoch 8:	Loss 0.97776	TrainAcc 0.8054	ValidAcc 0.7993	TestAcc 0.6404
    Epoch 9:	Loss 0.91578	TrainAcc 0.8150	ValidAcc 0.8120	TestAcc 0.6543
    Epoch 10:	Loss 0.86260	TrainAcc 0.8286	ValidAcc 0.8245	TestAcc 0.6622
    Epoch 11:	Loss 0.81436	TrainAcc 0.8411	ValidAcc 0.8362	TestAcc 0.6716
    Epoch 12:	Loss 0.77777	TrainAcc 0.8473	ValidAcc 0.8424	TestAcc 0.6776
    Epoch 13:	Loss 0.74646	TrainAcc 0.8493	ValidAcc 0.8445	TestAcc 0.6776
    Epoch 14:	Loss 0.71477	TrainAcc 0.8538	ValidAcc 0.8495	TestAcc 0.6826
    Epoch 15:	Loss 0.69670	TrainAcc 0.8570	ValidAcc 0.8514	TestAcc 0.6884
    Epoch 16:	Loss 0.68237	TrainAcc 0.8612	ValidAcc 0.8554	TestAcc 0.6931
    Epoch 17:	Loss 0.65588	TrainAcc 0.8666	ValidAcc 0.8605	TestAcc 0.6958
    Epoch 18:	Loss 0.64105	TrainAcc 0.8692	ValidAcc 0.8640	TestAcc 0.6952
    Epoch 19:	Loss 0.63051	TrainAcc 0.8714	ValidAcc 0.8659	TestAcc 0.6946
    Epoch 20:	Loss 0.61375	TrainAcc 0.8725	ValidAcc 0.8684	TestAcc 0.6970
    Epoch 21:	Loss 0.59502	TrainAcc 0.8740	ValidAcc 0.8705	TestAcc 0.7039
    Epoch 22:	Loss 0.58088	TrainAcc 0.8760	ValidAcc 0.8708	TestAcc 0.7122
    Epoch 23:	Loss 0.56985	TrainAcc 0.8780	ValidAcc 0.8727	TestAcc 0.7191
    Epoch 24:	Loss 0.55744	TrainAcc 0.8803	ValidAcc 0.8751	TestAcc 0.7194
    Epoch 25:	Loss 0.54764	TrainAcc 0.8821	ValidAcc 0.8769	TestAcc 0.7143
    Epoch 26:	Loss 0.54008	TrainAcc 0.8833	ValidAcc 0.8776	TestAcc 0.7073
    Epoch 27:	Loss 0.53151	TrainAcc 0.8849	ValidAcc 0.8783	TestAcc 0.7039
    Epoch 28:	Loss 0.52276	TrainAcc 0.8857	ValidAcc 0.8786	TestAcc 0.7046
    Epoch 29:	Loss 0.51532	TrainAcc 0.8863	ValidAcc 0.8785	TestAcc 0.7086
    Epoch 30:	Loss 0.50892	TrainAcc 0.8867	ValidAcc 0.8789	TestAcc 0.7129
    Epoch 31:	Loss 0.50079	TrainAcc 0.8878	ValidAcc 0.8808	TestAcc 0.7151
    Epoch 32:	Loss 0.49340	TrainAcc 0.8891	ValidAcc 0.8819	TestAcc 0.7164
    Epoch 33:	Loss 0.48736	TrainAcc 0.8899	ValidAcc 0.8825	TestAcc 0.7190
    Epoch 34:	Loss 0.48106	TrainAcc 0.8909	ValidAcc 0.8831	TestAcc 0.7219
    Epoch 35:	Loss 0.47488	TrainAcc 0.8915	ValidAcc 0.8841	TestAcc 0.7251
    Epoch 36:	Loss 0.46992	TrainAcc 0.8917	ValidAcc 0.8838	TestAcc 0.7276
    Epoch 37:	Loss 0.46544	TrainAcc 0.8923	ValidAcc 0.8843	TestAcc 0.7286
    Epoch 38:	Loss 0.46027	TrainAcc 0.8923	ValidAcc 0.8852	TestAcc 0.7273
    Epoch 39:	Loss 0.45544	TrainAcc 0.8931	ValidAcc 0.8854	TestAcc 0.7247
    Epoch 40:	Loss 0.45190	TrainAcc 0.8937	ValidAcc 0.8856	TestAcc 0.7220
    Epoch 41:	Loss 0.44883	TrainAcc 0.8941	ValidAcc 0.8864	TestAcc 0.7207
    Epoch 42:	Loss 0.44530	TrainAcc 0.8953	ValidAcc 0.8872	TestAcc 0.7218
    Epoch 43:	Loss 0.44115	TrainAcc 0.8957	ValidAcc 0.8869	TestAcc 0.7246
    Epoch 44:	Loss 0.43703	TrainAcc 0.8961	ValidAcc 0.8879	TestAcc 0.7275
    Epoch 45:	Loss 0.43351	TrainAcc 0.8967	ValidAcc 0.8881	TestAcc 0.7298
    Epoch 46:	Loss 0.43045	TrainAcc 0.8973	ValidAcc 0.8887	TestAcc 0.7313
    Epoch 47:	Loss 0.42772	TrainAcc 0.8979	ValidAcc 0.8894	TestAcc 0.7322
    Epoch 48:	Loss 0.42504	TrainAcc 0.8986	ValidAcc 0.8900	TestAcc 0.7332
    Epoch 49:	Loss 0.42215	TrainAcc 0.8993	ValidAcc 0.8905	TestAcc 0.7349
    Epoch 50:	Loss 0.41919	TrainAcc 0.8999	ValidAcc 0.8909	TestAcc 0.7365
    Epoch 51:	Loss 0.41643	TrainAcc 0.9002	ValidAcc 0.8909	TestAcc 0.7377
    Epoch 52:	Loss 0.41387	TrainAcc 0.9005	ValidAcc 0.8912	TestAcc 0.7382
    Epoch 53:	Loss 0.41139	TrainAcc 0.9010	ValidAcc 0.8920	TestAcc 0.7385
    Epoch 54:	Loss 0.40902	TrainAcc 0.9015	ValidAcc 0.8932	TestAcc 0.7388
    Epoch 55:	Loss 0.40673	TrainAcc 0.9018	ValidAcc 0.8940	TestAcc 0.7396
    Epoch 56:	Loss 0.40441	TrainAcc 0.9021	ValidAcc 0.8946	TestAcc 0.7407
    Epoch 57:	Loss 0.40207	TrainAcc 0.9025	ValidAcc 0.8946	TestAcc 0.7419
    Epoch 58:	Loss 0.39987	TrainAcc 0.9030	ValidAcc 0.8947	TestAcc 0.7431
    Epoch 59:	Loss 0.39787	TrainAcc 0.9033	ValidAcc 0.8948	TestAcc 0.7441
    Epoch 60:	Loss 0.39595	TrainAcc 0.9035	ValidAcc 0.8954	TestAcc 0.7448
    Epoch 61:	Loss 0.39404	TrainAcc 0.9041	ValidAcc 0.8956	TestAcc 0.7452
    Epoch 62:	Loss 0.39217	TrainAcc 0.9045	ValidAcc 0.8961	TestAcc 0.7456
    Epoch 63:	Loss 0.39037	TrainAcc 0.9047	ValidAcc 0.8963	TestAcc 0.7462
    Epoch 64:	Loss 0.38862	TrainAcc 0.9051	ValidAcc 0.8971	TestAcc 0.7472
    Epoch 65:	Loss 0.38699	TrainAcc 0.9055	ValidAcc 0.8974	TestAcc 0.7483
    Epoch 66:	Loss 0.38549	TrainAcc 0.9058	ValidAcc 0.8977	TestAcc 0.7494
